Ticker,Adoption,Stage,HG,LTG_W,LTG_M,Derection,LTG_M-HG
CLOU.O,111,3.5,33.6,9.5,13.6,-24.1,<0
CIBR.O,28,7.3,10.5,18.1,23.1,7.6,>5
QTUM.K,103,4.1,15.3,8.9,11.6,-6.4,<0
AIQ.O,319,4.4,20.7,12.9,15.1,-7.8,<0
SNSR.O,26,6.1,10.3,10.7,13.9,0.4,>0
VPN.O,39,2.0,20.9,3.9,8.5,-17,<0
ARKX.K,78,1.6,8.7,5.2,14.3,-3.5,<0
ARKW.K,76,8.1,28.2,4.1,20.4,-24.1,<0
SOCL.O,152,10.9,10.0,10.0,8.0,0,<0
ESPO.O,69,4.0,23.0,9.9,12.5,-13.1,<0
METV.K,450,1.3,18.3,8.4,9.4,-9.9,<0
BKCH.O,15,1.3,1.7,-4.3,0.8,-6,<0
IPAY.K,64,7.3,11.1,14.5,24.2,3.4,>0
ARKF.K,24,3.7,21.9,5.6,22.6,-16.3,<0
LIT,53,12.3,26.8,27.7,30.7,0.9,>0
IDRV.K,256,3.5,13.3,14.6,20.6,1.3,>0
PRNT.K,77,6.3,9.5,8.2,22.3,-1.3,<0
BOTZ.O,46,6.1,8.3,8.5,16.4,0.2,>0
ARKK.K,77,8.0,27.6,1.0,-3.3,-26.6,<0
AGNG.O,84,6.5,9.6,7.1,11.5,-2.5,<0
BFIT.O,12,6.5,14.7,7.7,13.5,-7,<0
ARKG.K,8,8.0,2.7,-2.9,-8.2,-5.6,<0
EDOC.O,33,2.2,4.7,3.0,5.1,-1.7,<0
MJ,3,6.9,2.5,0.6,9.1,-1.9,<0
ONLN.K,324,4.3,22.2,12.9,17.5,-9.3,<0
EMQQ.K,81,7.9,6.4,20.1,22.9,13.7,>10
MILN.O,226,6.5,17.4,13.0,13.6,-4.4,<0
BETZ.K,5,2.4,6.3,6.0,12.5,-0.3,<0
AWAY.K,13,2.7,5.4,12.2,47.4,6.8,>5
HYDR.O,14,1.3,3.2,27.7,41.4,24.5,>20
TAN,8,14.5,19.5,13.1,34.6,-6.4,<0
FAN,20,14.4,3.9,11.7,18.3,7.8,>5
PBW,12,17.6,3.5,6.5,28.7,3,>0
ICLN.O,15,14.3,23.1,13.1,28.2,-10,<0
REMX.K,6,12.0,23.7,5.5,16.4,-18.2,<0
EVX,21,16.0,11.7,5.2,12.7,-6.5,<0
PHO.O,29,16.9,8.4,4.7,10.2,-3.7,<0
PAVE.K,25,5.6,17.7,8.5,16.8,-9.2,<0
